name,nominations,wins
The Tortoise and the Hare,1,1
La Cucaracha,1,1
Men in Black,4,1
"What, No Men!",1,0
Bosom Friends,1,0
City of Wax,1,1
Strikes and Spares,1,0
Hide-Out,1,0
Manhattan Melodrama,1,1
The Richest Girl in the World,1,0
Victor McLaglen,2,1
Franchot Tone,1,0
Elisabeth Bergner,1,0
Miriam Hopkins,1,0
Merle Oberon,1,0
The Dark Angel,2,1
The Lives of a Bengal Lancer,7,1
Top Hat,3,0
David Copperfield,3,0
Les Miserables,4,0
A Midsummer Night's Dream,4,2
Barbary Coast,1,0
The Crusades,1,0
Busby Berkeley,3,0
Bobby Connolly,3,0
Dave Gould,3,1
Sammy Lee,2,0
Hermes Pan,3,1
LeRoy Prinz,2,0
Benjamin Zemach,1,0
Captain Blood,5,0
The Informer,5,3
Mutiny on the Bounty,12,1
Peter Ibbetson,1,0
Roberta,1,0
Gold Diggers of 1935,1,1
Alice Adams,1,0
Broadway Melody of 1936,2,0
Naughty Marietta,2,1
Ruggles of Red Gap,1,0
The Calico Dragon,1,0
Three Orphan Kittens,1,1
Who Killed Cock Robin?,1,0
How to Sleep,1,1
"Oh, My Nerves",1,0
Tit for Tat,1,0
Audioscopiks,1,0
Camera Thrills,1,0
Wings over Mt. Everest,1,1
Bride of Frankenstein,1,0
I Dream Too Much,1,0
Love Me Forever,1,0
"$1,000 a Minute",1,0
Thanks a Million,1,0
G-Men,1,0
The Gay Deception,1,0
The Scoundrel,1,1
To AGFA ANSCO CORPORATION for their development of the Agfa infra-red film.,1,1
To EASTMAN KODAK COMPANY for their development of the Eastman Pola-Screen.,1,1
Gary Cooper,5,2
Walter Huston,4,1
Spencer Tracy,9,2
Mischa Auer,1,0
Walter Brennan,4,3
Stuart Erwin,1,0
Basil Rathbone,2,0
Akim Tamiroff,2,0
Gladys George,1,0
Carole Lombard,1,0
Luise Rainer,2,2
Beulah Bondi,2,0
Alice Brady,2,1
Bonita Granville,1,0
Maria Ouspenskaya,2,0
Gale Sondergaard,2,1
Anthony Adverse,6,3
Dodsworth,5,1
The Great Ziegfeld,5,1
Lloyds of London,2,0
The Magnificent Brute,1,0
Romeo and Juliet,6,2
Winterset,2,0
The Charge of the Light Brigade,3,1
The Garden of Allah,2,0
The Last of the Mohicans,2,1
San Francisco,5,1
The General Died at Dawn,2,0
The Gorgeous Hussy,1,0
Seymour Felix,1,1
Jack Haskell,1,0
Russell Lewis,1,0
Mr. Deeds Goes to Town,4,1
My Man Godfrey,2,0
Come and Get It,1,0
A Tale of Two Cities,2,0
Theodora Goes Wild,1,0
Suzy,1,0
Born to Dance,1,0
Trail of the Lonesome Pine,1,0
Pennies from Heaven,4,0
Swing Time,1,1
"Sing, Baby, Sing",1,0
Libeled Lady,1,0
The Story of Louis Pasteur,3,2
Three Smart Girls,3,0
The Country Cousin,1,1
Old Mill Pond,1,0
Sinbad the Sailor,1,0
Give Me Liberty,1,1
La Fiesta de Santa Barbara,1,0
Popular Science J-6-2,1,0
Bored of Education,1,1
Moscow Moods,1,0
"Wanted, a Master",1,0
Double or Nothing,1,0
Dummy Ache,1,0
The Public Pays,1,1
Banjo on My Knee,1,0
General Spanky,1,0
The Texas Rangers,1,0
That Girl from Paris,1,0
Fury,1,0
After the Thin Man,1,0
"To RCA MANUFACTURING CO., INC., for their rotary stabilizer sound head.",1,1
Charles Boyer,4,0
Robert Montgomery,2,0
Ralph Bellamy,1,0
Thomas Mitchell,2,1
Joseph Schildkraut,1,1
H. B. Warner,1,0
Roland Young,1,0
Barbara Stanwyck,4,0
Andrea Leeds,1,0
Anne Shirley,1,0
Claire Trevor,3,1
Dame May Whitty,2,0
Conquest,1,0
A Damsel in Distress,1,0
Dead End,3,0
Every Day's a Holiday,1,0
The Life of Emile Zola,8,2
Lost Horizon,6,2
Manhattan Merry-Go-Round,1,0
The Prisoner of Zenda,2,0
Souls at Sea,3,0
Walter Wanger's Vogues of 1938,2,0
Wee Willie Winkie,1,0
You're a Sweetheart,1,0
In Old Chicago,5,1
A Star Is Born,13,2
The Good Earth,4,1
Wings over Honolulu,1,0
Harry Losee,1,0
The Awful Truth,4,1
Stage Door,3,0
Captains Courageous,3,0
One Hundred Men and a Girl,5,1
The Hurricane,2,1
Make a Wish,1,0
Maytime,2,0
Portia on Trial,1,0
Quality Street,1,0
Snow White and the Seven Dwarfs,1,0
Something to Sing About,1,0
Way Out West,1,0
Mr. Dodd Takes the Air,1,0
Waikiki Wedding,1,1
Shall We Dance,1,0
Artists and Models,1,0
Educated Fish,1,0
The Little Match Girl,1,0
The Old Mill,1,1
The Man without a Country,1,0
Penny Wisdom,1,1
Popular Science J-7-1,1,0
A Night at the Movies,1,0
The Private Life of the Gannets,1,1
Romance of Radium,1,0
Deep South,1,0
Should Wives Work?,1,0
Torture Money,1,1
The Girl Said No,1,0
Hitting a New High,1,0
Topper,1,0
Wells Fargo,1,0
Black Legion,1,0
"To Edgar Bergen for his outstanding comedy creation, ""Charlie McCarthy.""",1,1
Darryl F. Zanuck,4,3
To EASTMAN KODAK COMPANY for two fine-grain duplicating film stocks.,1,1
James Cagney,3,1
Robert Donat,2,1
John Garfield,2,0
Gene Lockhart,1,0
Robert Morley,1,0
Fay Bainter,3,1
Wendy Hiller,3,1
Margaret Sullavan,1,0
Billie Burke,1,0
Spring Byington,1,0
Miliza Korjus,1,0
The Adventures of Robin Hood,4,3
The Adventures of Tom Sawyer,1,0
Alexander's Ragtime Band,6,1
Algiers,2,0
Carefree,3,0
The Goldwyn Follies,2,0
If I Were King,3,0
Mad about Music,4,0
Marie Antoinette,3,1
Merrily We Live,4,0
Army Girl,3,0
The Buccaneer,2,0
The Great Waltz,2,1
Jezebel,3,0
Suez,3,0
Vivacious Lady,2,0
You Can't Take It with You,6,2
The Young in Heart,3,0
Angels with Dirty Faces,2,0
Boys Town,4,1
The Citadel,3,0
Four Daughters,4,0
Test Pilot,3,0
Block-Heads,1,0
Blockade,2,0
Breaking the Ice,1,0
The Cowboy and the Lady,3,1
Pacific Liner,1,0
Girls' School,1,0
Storm over Bengal,1,0
Sweethearts,2,0
There Goes My Heart,1,0
Tropic Holiday,1,0
Mannequin,2,0
Under Western Stars,1,0
Going Places,1,0
The Lady Objects,1,0
That Certain Age,2,0
The Big Broadcast of 1938,1,1
Grand Illusion,1,0
Pygmalion,2,1
Brave Little Tailor,1,0
Ferdinand the Bull,1,1
Good Scouts,1,0
Hunky and Spunky,1,0
Mother Goose Goes Hollywood,1,0
The Great Heart,1,0
That Mothers Might Live,1,1
Timber Toppers,1,0
Declaration of Independence,1,1
Swingtime in the Movies,1,0
They're Always Caught,1,0
Samuel Goldwyn,3,2
Joe Pasternak,1,0
David O. Selznick,2,1
Hunt Stromberg,1,0
Hal B. Wallis,2,2
Walter Wanger,1,0
Laurence Olivier,9,1
Mickey Rooney,4,0
James Stewart,5,1
Brian Aherne,1,0
Harry Carey,1,0
Brian Donlevy,1,0
Claude Rains,4,0
Greer Garson,7,1
Vivien Leigh,2,2
Olivia de Havilland,5,2
Geraldine Fitzgerald,1,0
Hattie McDaniel,1,1
Edna May Oliver,1,0
Beau Geste,1,0
Captain Fury,1,0
First Love,4,0
Gone with the Wind,9,6
Love Affair,4,0
Man of Conquest,3,0
Mr. Smith Goes to Washington,8,1
The Private Lives of Elizabeth and Essex,5,0
The Rains Came,6,1
Stagecoach,6,1
The Wizard of Oz,6,2
Wuthering Heights,6,1
The Great Victor Herbert,3,0
Gunga Din,1,0
Intermezzo,2,0
Juarez,1,0
Lady of the Tropics,1,0
Of Mice and Men,5,0
Only Angels Have Wings,2,0
Drums along the Mohawk,1,0
Four Feathers,1,0
The Mikado,1,0
"Goodbye, Mr. Chips",6,0
Dark Victory,2,0
Eternally Yours,1,0
Golden Boy,1,0
Gulliver's Travels,2,0
The Man in the Iron Mask,1,0
Nurse Edith Cavell,1,0
Babes in Arms,1,0
The Hunchback of Notre Dame,3,0
She Married a Cop,1,0
Swanee River,1,0
They Shall Have Music,1,0
Way Down South,1,0
Second Fiddle,1,0
Ninotchka,3,0
Detouring America,1,0
Peace on Earth,1,0
The Pointer,1,0
The Ugly Duckling,1,1
Busy Little Bears,1,1
Information Please,1,0
Prophet without Honor,1,0
Sword Fishing,1,0
Drunk Driving,1,0
Five Times Five,1,0
Sons of Liberty,1,1
Balalaika,1,0
When Tomorrow Comes,1,1
Topper Takes a Trip,1,0
Union Pacific,1,0
Bachelor Mother,1,0
Young Mr. Lincoln,1,0
To JOHN ARNOLD of Metro-Goldwyn-Mayer Studio for the M-G-M mobile camera crane.,1,1
To HAROLD NYE of Warner Bros. Studio for a miniature incandescent spot lamp.,1,1
Charles Chaplin,1,0
Henry Fonda,2,1
Raymond Massey,1,0
Albert Basserman,1,0
William Gargan,1,0
Jack Oakie,1,0
James Stephenson,1,0
Joan Fontaine,3,1
Ginger Rogers,1,1
Martha Scott,1,0
Judith Anderson,1,0
Jane Darwell,1,1
Ruth Hussey,1,0
Barbara O'Neil,1,0
Marjorie Rambeau,2,0
"Arise, My Love",4,1
Arizona,2,0
The Boys from Syracuse,2,0
The Dark Command,2,0
Foreign Correspondent,5,0
Lillian Russell,1,0
My Favorite Wife,3,0
"My Son, My Son!",1,0
Our Town,5,0
Pride and Prejudice,1,1
Rebecca,8,2
The Sea Hawk,4,0
The Westerner,2,0
Bitter Sweet,2,0
Down Argentine Way,3,0
North West Mounted Police,5,1
The Thief of Bagdad,4,3
Abe Lincoln in Illinois,1,0
"All This, and Heaven Too",2,0
Boom Town,2,0
The Letter,5,0
The Long Voyage Home,6,0
Spring Parade,4,0
Waterloo Bridge,2,0
The Blue Bird,2,0
Northwest Passage,1,0
The Grapes of Wrath,5,1
Kitty Foyle,4,0
The Philadelphia Story,3,1
The Fight for Life,1,0
The Great Dictator,3,0
The House of the Seven Gables,1,0
The Howards of Virginia,2,0
The Mark of Zorro,1,0
One Million B.C.,2,0
Pinocchio,2,2
Hit Parade of 1941,2,0
Irene,1,0
Second Chorus,2,0
Strike Up the Band,3,1
Tin Pan Alley,1,1
You'll Find Out,1,0
Music in My Heart,1,0
Rhythm on the River,1,0
The Milky Way,1,1
Puss Gets the Boot,1,0
A Wild Hare,1,0
London Can Take It,1,0
More about Nostradamus,1,0
Quicker 'N a Wink,1,1
Siege,1,0
Eyes of the Navy,1,0
Service with the Colors,1,0
"Teddy, the Rough Rider",1,1
Behind the News,1,0
Captain Caution,1,0
Too Many Husbands,1,0
Dr. Cyclops,1,0
The Invisible Man Returns,1,0
Swiss Family Robinson,1,0
Typhoon,1,0
Women in War,1,0
Angels over Broadway,1,0
Dr. Ehrlich's Magic Bullet,1,0
The Great McGinty,1,1
Comrade X,1,0
"Edison, the Man",1,0
Cary Grant,2,0
Orson Welles,1,0
Charles Coburn,3,1
Donald Crisp,1,1
James Gleason,1,0
Sydney Greenstreet,1,0
Sara Allgood,1,0
Mary Astor,1,1
Patricia Collinge,1,0
Teresa Wright,3,1
Margaret Wycherly,1,0
Citizen Kane,8,1
The Flame of New Orleans,1,0
Hold Back the Dawn,5,0
How Green Was My Valley,8,4
Ladies in Retirement,2,0
The Little Foxes,6,0
Sergeant York,8,1
Sis Hopkins,1,0
The Son of Monte Cristo,1,0
Sundown,3,0
That Hamilton Woman,4,1
Blood and Sand,2,1
Blossoms in the Dust,3,1
Louisiana Purchase,2,0
The Chocolate Soldier,3,0
Here Comes Mr. Jordan,5,2
Sun Valley Serenade,3,0
Aloma of the South Seas,2,0
Billy the Kid,1,0
Dive Bomber,2,0
Adventure in the Bronx,1,0
Bomber,1,0
Christmas under Fire,1,0
Churchill's Island,1,1
Letter from Home,1,0
Life of a Thoroughbred,1,0
Norway in Revolt,1,0
A Place to Live,1,0
Russian Soil,1,0
Soldiers of the Sky,1,0
War Clouds in the Pacific,1,0
All That Money Can Buy,1,1
Back Street,2,0
Ball of Fire,3,0
Cheers for Miss Bishop,1,0
King of the Zombies,1,0
Lydia,1,0
Mercy Island,1,0
So Ends Our Night,1,0
Suspicion,2,0
Tanks a Million,1,0
That Uncertain Feeling,1,0
This Woman Is Mine,1,0
All-American Co-Ed,2,0
Birth of the Blues,1,0
Buck Privates,2,0
Dumbo,2,1
Ice-Capades,1,0
The Strawberry Blonde,1,0
Sunny,1,0
You'll Never Get Rich,2,0
Ridin' on a Rainbow,1,0
Blues in the Night,1,0
Las Vegas Nights,1,0
Lady Be Good,1,1
The Maltese Falcon,2,0
One Foot in Heaven,1,0
Boogie Woogie Bugle Boy of Company B,1,0
Hiawatha's Rabbit Hunt,1,0
How War Came,1,0
Lend a Paw,1,1
The Night before Christmas,1,0
Rhapsody in Rivets,1,0
Rhythm in the Ranks,1,0
The Rookie Bear,1,0
Superman,5,1
Truant Officer Donald,1,0
Army Champions,1,0
Beauty and the Beach,1,0
Down on the Farm,1,0
Forty Boys and a Song,1,0
Kings of the Turf,1,0
Of Pups and Puzzles,1,1
Sagebrush and Silver,1,0
Alive in the Deep,1,0
Forbidden Passage,1,0
The Gay Parisian,1,0
Main Street on the March!,1,1
The Tanks Are Coming,1,0
Appointment for Love,1,0
The Devil Pays Off,1,0
The Men in Her Life,1,0
Skylark,1,0
Topper Returns,2,0
Flight Command,1,0
I Wanted Wings,1,1
The Invisible Woman,2,0
The Sea Wolf,1,0
A Yank in the R.A.F.,1,0
The Devil and Miss Jones,1,0
"Tall, Dark and Handsome",1,0
"Tom, Dick and Harry",1,0
The Lady Eve,1,0
Meet John Doe,1,0
Night Train,1,0
Walt Disney,1,1
Walter Pidgeon,2,0
Monty Woolley,2,0
William Bendix,1,0
Van Heflin,1,1
Henry Travers,1,0
Rosalind Russell,5,1
Gladys Cooper,3,0
Agnes Moorehead,4,0
Susan Peters,1,0
George Washington Slept Here,1,0
The Magnificent Ambersons,3,0
The Pride of the Yankees,9,1
Random Harvest,5,0
The Shanghai Gesture,2,0
Silver Queen,2,0
The Spoilers,1,0
"Take a Letter, Darling",3,0
The Talk of the Town,7,0
This above All,4,1
Arabian Nights,4,0
Captains of the Clouds,2,0
Jungle Book,4,0
My Gal Sal,2,1
Reap the Wild Wind,3,1
Kings Row,3,0
Mrs. Miniver,7,4
Moontide,1,0
The Pied Piper,2,0
Ten Gentlemen from West Point,1,0
The Black Swan,3,1
To the Shores of Tripoli,1,0
Wake Island,3,0
Yankee Doodle Dandy,6,2
"Africa, Prelude to Victory",1,0
The Battle of Midway,1,1
Combat Report,1,0
Conquer by the Clock,1,0
The Grain That Built a Hemisphere,1,0
"Henry Browne, Farmer",1,0
High over the Borders,1,0
High Stakes in the East,1,0
Inside Fighting China,1,0
It's Everybody's War,1,0
Kokoda Front Line!,1,1
Listen to Britain,1,0
Little Belgium,1,0
Little Isles of Freedom,1,0
Mr. Blabbermouth!,1,0
Mr. Gardenia Jones,1,0
Moscow Strikes Back,1,1
The New Spirit,1,0
Prelude to War,1,1
The Price of Victory,1,0
A Ship Is Born,1,0
Twenty-One Miles,1,0
We Refuse to Die,1,0
White Eagle,1,0
Winning Your Wings,1,0
Bambi,3,0
The Corsican Brothers,1,0
Flying Tigers,3,0
The Gold Rush,2,0
I Married a Witch,1,0
Joan of Paris,1,0
Klondike Fury,1,0
"Now, Voyager",1,1
To Be or Not to Be,1,0
Flying with Music,2,0
For Me and My Gal,1,0
Holiday Inn,3,1
It Started with Eve,1,0
Johnny Doughboy,1,0
You Were Never Lovelier,3,0
Always in My Heart,1,0
Babes on Broadway,1,0
Youth on Parade,1,0
Orchestra Wives,1,0
Hellzapoppin',1,0
The Mayor of 44th Street,1,0
The Invaders,3,1
All Out for 'V',1,0
Blitz Wolf,1,0
Der Fuehrer's Face,1,1
Juke Box Jamboree,1,0
Pigs in a Polka,1,0
Tulips Shall Grow,1,0
Desert Wonderland,1,0
Marines in the Making,1,0
Speaking of Animals and Their Families,1,1
United States Marine Band,1,0
Beyond the Line of Duty,1,1
Don't Talk,1,0
Private Smith of the U.S.A.,1,0
Friendly Enemies,1,0
Once upon a Honeymoon,1,0
Road to Morocco,2,0
Desperate Journey,1,0
Invisible Agent,1,0
The Navy Comes Through,1,0
One of Our Aircraft Is Missing,2,0
The War against Mrs. Hadley,1,0
Woman of the Year,1,1
Sidney Franklin,1,1
Humphrey Bogart,3,1
Paul Lukas,1,1
Charles Bickford,3,0
J. Carrol Naish,2,0
Jean Arthur,1,0
Ingrid Bergman,7,3
Jennifer Jones,5,1
Paulette Goddard,1,0
Katina Paxinou,1,1
Anne Revere,3,1
Lucile Watson,1,0
Five Graves to Cairo,3,0
Flight for Freedom,1,0
Madame Curie,5,0
Mission to Moscow,1,0
The North Star,6,0
The Song of Bernadette,8,3
For Whom the Bell Tolls,5,0
The Gang's All Here,1,0
Phantom of the Opera,4,2
This Is the Army,3,1
Thousands Cheer,3,0
Air Force,4,1
Casablanca,6,3
Corvette K-225,1,0
The Human Comedy,4,1
Sahara,2,0
So Proudly We Hail!,3,0
Heaven Can Wait,9,1
"Hello, Frisco, Hello",2,1
Lassie Come Home,1,0
The More the Merrier,4,0
Baptism of Fire,1,0
The Battle of Russia,1,0
Desert Victory,1,1
For God and Country,1,0
Report from the Aleutians,1,0
Silent Village,1,0
War Department Report,1,0
"We've Come a Long, Long Way",1,0
Bismarck Convoy Smashed,1,0
Children of Mars,1,0
Day of Battle,1,0
December 7th,1,1
The Dutch Tradition,1,0
Kill or Be Killed,1,0
The Labor Front,1,0
Land of My Mother,1,0
Letter from Livingston,1,0
Life Line,1,0
Plan for Destruction,1,0
The Rear Gunner,1,0
Servant of a Nation,1,0
Swedes in America,1,0
Task Force,1,0
To the People of the United States,1,0
Tomorrow We Fly,1,0
The Voice That Thrilled the World,1,0
Water--Friend or Enemy,1,0
Wings Up,1,0
Youth in Crisis,1,0
The Amazing Mrs. Holliday,1,0
Commandos Strike at Dawn,1,0
The Fallen Sparrow,1,0
Hangmen Also Die,2,0
Hi Diddle Diddle,1,0
In Old Oklahoma,2,0
Johnny Come Lately,1,0
The Kansan,1,0
Lady of Burlesque,1,0
The Moon and Sixpence,1,0
Victory through Air Power,1,0
Coney Island,1,0
Hit Parade of 1943,2,0
Saludos Amigos,3,0
The Sky's the Limit,2,0
Something to Shout About,2,0
Stage Door Canteen,2,0
Star Spangled Rhythm,2,0
Cabin in the Sky,1,0
Hers to Hold,1,0
Thank Your Lucky Stars,1,0
In Which We Serve,2,0
The Ox-Bow Incident,1,0
Watch on the Rhine,2,0
The Dizzy Acrobat,1,0
The 500 Hats of Bartholomew Cubbins,1,0
Greetings Bait!,1,0
Imagination,1,0
Reason and Emotion,1,0
Yankee Doodle Mouse,1,1
Amphibious Fighters,1,1
Cavalcade of Dance with Veloz and Yolanda,1,0
Champions Carry On,1,0
Hollywood in Uniform,1,0
Seeing Hands,1,0
Heavenly Music,1,1
Letter to a Hero,1,0
Mardi Gras,2,0
Women at War,1,0
Riding High,1,0
So This Is Washington,1,0
This Land Is Mine,1,1
Bombardier,1,0
Crash Dive,1,1
Stand By for Action,1,0
Action in the North Atlantic,1,0
Destination Tokyo,1,0
Shadow of a Doubt,1,0
Princess O'Rourke,1,1
Holy Matrimony,1,0
Bing Crosby,3,1
Barry Fitzgerald,2,1
Alexander Knox,1,0
Hume Cronyn,1,0
Clifton Webb,3,0
Ethel Barrymore,4,1
Angela Lansbury,3,0
Aline MacMahon,1,0
Address Unknown,2,0
The Adventures of Mark Twain,3,0
Casanova Brown,3,0
Gaslight,4,1
Laura,4,1
No Time for Love,1,0
Since You Went Away,6,1
Song of the Open Road,3,0
Step Lively,1,0
The Climax,1,0
Cover Girl,5,1
The Desert Song,1,0
Kismet,4,0
Lady in the Dark,3,0
The Princess and the Pirate,2,0
Wilson,9,5
Double Indemnity,6,0
Dragon Seed,1,0
Going My Way,7,5
Lifeboat,3,0
Thirty Seconds over Tokyo,2,1
The Uninvited,1,0
The White Cliffs of Dover,1,0
Home in Indiana,1,0
Meet Me in St. Louis,4,0
The Fighting Lady,1,1
Resisting Enemy Interrogation,1,0
Arturo Toscanini,1,0
New Americans,1,0
With the Marines at Tarawa,1,1
Janie,1,0
None but the Lonely Heart,2,0
The Bridge of San Luis Rey,1,0
Christmas Holiday,1,0
The Fighting Seabees,1,0
The Hairy Ape,1,0
It Happened Tomorrow,2,0
Jack London,1,0
Summer Storm,1,0
Three Russian Girls,1,0
Up in Mabel's Room,1,0
Voice in the Wind,2,0
Woman of the Town,1,0
Brazil,5,0
Higher and Higher,2,0
Hollywood Canteen,3,0
Irish Eyes Are Smiling,1,0
Knickerbocker Holiday,1,0
"Lady, Let's Dance",2,0
The Merry Monahans,1,0
Minstrel Man,2,0
Sensations of 1945,1,0
Up in Arms,2,0
Follow the Boys,1,0
Sweet and Low-Down,1,0
And to Think I Saw It on Mulberry Street,1,0
"Dog, Cat and Canary",1,0
Fish Fry,1,0
How to Play Football,1,0
Mouse Trouble,1,1
My Boy Johnny,1,0
Swooner Crooner,1,0
Blue Grass Gentlemen,1,0
Jammin' the Blues,1,0
Movie Pests,1,0
Screen Snapshots' 50th Anniversary of Motion Pictures,1,0
Who's Who in Animal Land,1,1
Bombalera,1,0
I Won't Play,1,1
Main Street Today,1,0
His Butler's Sister,1,0
Music in Manhattan,1,0
Days of Glory,1,0
Secret Command,1,0
The Story of Dr. Wassell,1,0
A Guy Named Joe,1,0
None Shall Escape,1,0
The Sullivans,1,0
Hail the Conquering Hero,1,0
The Miracle of Morgan's Creek,1,0
